ApplicationNumber,JEE_Rank,SubCategory,Previous_Department,Previous_Choice,New_Department,New_Choice,Status,Vacated_From
20250000521,1129046,GNSPT,None,None,ai_robotics,1,Success,
20250000550,349564,GNSPT,None,None,cs,1,Success,
20250000191,667035,GNSPT,None,None,ece,2,Success,
20250000761,604639,GNSPT,None,None,mnc,3,Success,
20250000145,1000000,GNSPT,None,None,ee,5,Success,
20250000755,140891,GNCDP,undefined,2,cs,1,Success,undefined
20250000211,231056,GNCDP,None,None,ai_robotics,2,Success,
20250000261,255062,GNCDP,None,None,ece,2,Success,
20250000334,260852,GNCDP,None,None,me,1,Success,
20250000193,413988,GNCDP,None,None,ce,2,Success,
20250001188,448486,GNCDP,None,None,ee,5,Success,
20250001038,459447,GNCDP,None,None,mnc,4,Success,
20250000699,145242,GNCPF,undefined,2,cs,1,Success,undefined
20250001200,285429,GNCPF,None,None,ai_robotics,2,Success,
20250000464,385788,GNCPF,None,None,ece,3,Success,
20250000561,746547,GNCPF,None,None,ce,3,Success,
20250000335,844757,GNCPF,None,None,ee,2,Success,
20250000541,1015910,GNCPF,None,None,me,3,Success,
20250000711,274712,GNCPF,None,None,mnc,7,Success,
20250000656,167506,GNSPT,undefined,2,,,Failed,undefined
20250000367,185147,GNSPT,undefined,2,,,Failed,undefined
20250000750,147186,GNCDP,undefined,2,,,Failed,undefined
20250000634,526585,GNCDP,None,None,,,Failed,
20250000697,797099,GNCDP,None,None,,,Failed,
20250000869,831771,GNCDP,None,None,,,Failed,
20250000721,361767,GNCPF,None,None,,,Failed,
20250000269,427753,GNCPF,None,None,,,Failed,
20250000650,487588,GNCPF,None,None,,,Failed,
20250000294,227283,GNCPF,undefined,6,,,Failed,undefined
