ApplicationNumber,Category,JEE_Rank,Category_Rank,Previous_Department,Previous_Choice,New_Department,New_Choice,Status
20250000599,EWS,112697,11269,None,2,cs,1,Success
20250000825,EWS,177098,17709,None,3,ece,2,Success
20250000357,EWS,204653,20465,None,4,mnc,1,Success
20250001126,EWS,211938,21193,None,6,ai_robotics,1,Success
20250000945,EWS,222498,22249,None,5,ece,1,Success
20250000709,EWS,228792,22879,None,7,ee,5,Success
20250000627,EWS,251445,25144,None,None,ee,5,Success
20250000765,EWS,265460,26546,None,None,me,5,Success
20250000708,EWS,274350,27435,None,None,ce,7,Success
20250000982,EWS,283899,28389,None,None,ce,4,Success
20250000350,SC,244085,24408,None,None,cs,1,Success
20250001135,SC,313940,31394,None,None,ai_robotics,2,Success
20250000557,SC,667577,667577,None,None,ai_robotics,2,Success
20250000980,SC,698873,69887,None,None,me,2,Success
20250000762,SC,713561,71356,None,None,ece,2,Success
20250000301,SC,776231,77623,None,None,ai_robotics,2,Success
20250000715,SC,832707,83270,None,None,ece,3,Success
20250000691,SC,844756,84475,None,None,mnc,4,Success
20250000592,SC,873069,87306,None,None,ee,4,Success
20250000780,SC,899425,89942,None,None,mnc,2,Success
20250001107,SC,933425,93342,None,None,ee,4,Success
20250000683,SC,989254,989254,None,None,ce,2,Success
20250000288,SC,1023329,102332,None,None,me,2,Success
20250000278,SC,1193872,119387,None,None,ce,7,Success
20250000463,ST1,193705,19370,None,3,cs,1,Success
20250000563,ST1,238723,23872,None,None,ai_robotics,2,Success
20250000417,ST1,382653,38265,None,None,ai_robotics,2,Success
20250000286,ST1,596940,59694,None,None,ece,2,Success
20250000619,ST1,732166,73216,None,None,ce,1,Success
20250000226,ST1,769504,76950,None,None,ce,1,Success
20250001183,OBC,112944,11294,None,2,cs,1,Success
20250001142,OBC,199741,19974,None,5,ai_robotics,2,Success
20250000804,OBC,211826,21182,None,5,mnc,1,Success
20250000920,OBC,219051,21905,None,5,ece,2,Success
20250000479,OBC,223896,22389,None,4,mnc,2,Success
20250001187,OBC,228333,22833,None,6,ai_robotics,2,Success
20250000773,OBC,237642,23764,None,None,ece,2,Success
20250000834,OBC,239555,23955,None,None,ee,1,Success
20250000313,OBC,245914,24591,None,None,ai_robotics,3,Success
20250001044,OBC,272711,27271,None,None,me,2,Success
20250000349,OBC,275242,27524,None,None,ai_robotics,3,Success
20250000791,OBC,278298,27829,None,None,ai_robotics,1,Success
20250000616,OBC,278575,27857,None,None,ee,5,Success
20250000264,OBC,283044,28304,None,None,me,5,Success
20250000581,OBC,297461,29746,None,None,ce,7,Success
20250001191,OBC,315403,31540,None,None,ce,7,Success
20250001058,EWS,131747,13174,None,2,,,Failed
20250000571,EWS,137569,13756,None,2,,,Failed
20250000287,EWS,152056,15205,None,2,,,Failed
20250000187,EWS,152985,15298,None,2,,,Failed
20250001024,EWS,170457,17045,None,2,,,Failed
20250001023,EWS,302015,30201,None,None,,,Failed
20250000856,EWS,340738,34073,None,None,,,Failed
20250000882,EWS,358209,35820,None,None,,,Failed
20250000807,EWS,365238,36523,None,None,,,Failed
20250000189,EWS,393260,39326,None,None,,,Failed
20250000290,EWS,513283,51328,None,None,,,Failed
20250000200,EWS,530198,530198,None,None,,,Failed
20250000759,EWS,543499,54349,None,None,,,Failed
20250000751,EWS,556777,55677,None,None,,,Failed
20250000992,EWS,671217,67121,None,None,,,Failed
20250000283,EWS,749165,74916,None,None,,,Failed
20250000321,EWS,757673,75767,None,None,,,Failed
20250000223,EWS,769503,76943,None,None,,,Failed
20250000524,EWS,874217,87421,None,None,,,Failed
20250000739,EWS,992308,99230,None,None,,,Failed
20250000293,EWS,1042875,104287,None,None,,,Failed
20250000701,SC,1326935,132693,None,None,,,Failed
20250000447,SC,1351537,135153,None,None,,,Failed
20250000778,OBC,129053,12905,None,2,,,Failed
20250000729,OBC,137483,13748,None,2,,,Failed
20250000329,OBC,140470,14047,None,2,,,Failed
20250000743,OBC,161032,16103,None,2,,,Failed
20250000713,OBC,164694,16469,None,2,,,Failed
20250000674,OBC,171499,17149,None,2,,,Failed
20250000130,OBC,317054,31705,None,None,,,Failed
20250000815,OBC,326022,32602,None,None,,,Failed
20250000798,OBC,330327,33032,None,None,,,Failed
20250000696,OBC,338670,33867,None,None,,,Failed
20250000410,OBC,349658,34965,None,None,,,Failed
20250000717,OBC,351207,35120,None,None,,,Failed
20250000770,OBC,370036,37003,None,None,,,Failed
20250000643,OBC,387257,38725,None,None,,,Failed
20250001001,OBC,392915,39291,None,None,,,Failed
20250000495,OBC,401679,40167,None,None,,,Failed
20250001172,OBC,425384,42538,None,None,,,Failed
20250000753,OBC,429157,42915,None,None,,,Failed
20250000813,OBC,442643,44264,None,None,,,Failed
20250000194,OBC,444416,44441,None,None,,,Failed
20250000720,OBC,452736,45273,None,None,,,Failed
20250000827,OBC,466092,46609,None,None,,,Failed
20250001111,OBC,476246,47624,None,None,,,Failed
20250000838,OBC,487036,48703,None,None,,,Failed
20250000811,OBC,567224,56722,None,None,,,Failed
20250000604,OBC,573159,57315,None,None,,,Failed
20250000799,OBC,576492,57649,None,None,,,Failed
20250000685,OBC,578062,57806,None,None,,,Failed
20250000289,OBC,583554,58355,None,None,,,Failed
20250000841,OBC,601336,60133,None,None,,,Failed
20250000805,OBC,609669,60966,None,None,,,Failed
20250000351,OBC,646181,64618,None,None,,,Failed
20250000835,OBC,650285,65028,None,None,,,Failed
20250000752,OBC,764518,76451,None,None,,,Failed
20250000808,OBC,790483,79048,None,None,,,Failed
20250001140,OBC,808887,80888,None,None,,,Failed
20250000098,OBC,976543,97654,None,None,,,Failed
20250000680,OBC,990952,99095,None,None,,,Failed
20250000607,OBC,1044032,104403,None,None,,,Failed
20250000819,OBC,1365895,136589,None,None,,,Failed
