departmentId,category,subCategory,totalSeats
cs,GEN,GNGN,10
cs,GEN,GNPWD,1
cs,GEN,GNCDP,1
cs,GEN,GNCPF,1
cs,GEN,GNSPT,1
cs,EWS,EWS,1
cs,EWS,EWSPWD,1
cs,EWS,EWSCDP,1
cs,EWS,EWSCPF,1
cs,EWS,EWSSPT,1
cs,SC,SC,1
cs,SC,SCPWD,1
cs,SC,SCCDP,1
cs,SC,SCCPF,1
cs,SC,SCSPT,1
cs,ST1,ST1,1
cs,ST2,ST2ST,1
cs,RBA,RBA,1
cs,OBC,OBC,1
ce,GEN,GNGN,11
ce,GEN,GNPWD,1
ce,GEN,GNCDP,1
ce,GEN,GNCPF,1
ce,GEN,GNSPT,1
ce,EWS,EWS,2
ce,SC,SC,2
ce,ST1,ST1,3
ce,RBA,RBA,3
ce,OBC,OBC,2
ece,GEN,GNGN,11
ece,GEN,GNPWD,1
ece,GEN,GNCDP,1
ece,GEN,GNCPF,1
ece,GEN,GNSPT,1
ece,EWS,EWS,2
ece,SC,SC,2
ece,ST1,ST1,3
ece,RBA,RBA,3
ece,OBC,OBC,2
ee,GEN,GNGN,12
ee,GEN,GNPWD,1
ee,GEN,GNCDP,1
ee,GEN,GNCPF,1
ee,GEN,GNSPT,1
ee,EWS,EWS,2
ee,SC,SC,2
ee,ST1,ST1,3
ee,RBA,RBA,3
ee,OBC,OBC,2
mnc,GEN,GNGN,12
mnc,GEN,GNPWD,1
mnc,GEN,GNCDP,1
mnc,GEN,GNCPF,1
mnc,GEN,GNSPT,1
mnc,EWS,EWS,1
mnc,SC,SC,2
mnc,ST1,ST1,3
mnc,RBA,RBA,3
mnc,OBC,OBC,2
me,GEN,GNGN,7
me,GEN,GNCDP,1
me,GEN,GNCPF,1
me,GEN,GNSPT,1
me,EWS,EWS,1
me,SC,SC,2
me,ST1,ST1,1
me,RBA,RBA,1
me,RLAC,RLAC,1
me,OBC,OBC,2
ai_robotics,GEN,GNGN,27
ai_robotics,GEN,GNCDP,1
ai_robotics,GEN,GNCPF,1
ai_robotics,GEN,GNSPT,1
ai_robotics,EWS,EWS,1
ai_robotics,SC,SC,3
ai_robotics,ST1,ST1,6
ai_robotics,RBA,RBA,5
ai_robotics,RLAC,RLAC,3
ai_robotics,OBC,OBC,5
